GUID,Visual Name,Latest Version,Library Name,Library Version,License Type,Is GPL Family,Is Certified,Popularity
BusinessFlowF39DAE8D57A743EF89F5C3809DEE2B67,Performance Flow - xViz,2.0.0.0,Leaflet,,BSD-2-Clause,False,True,0.988
BusinessFlowF39DAE8D57A743EF89F5C3809DEE2B67,Performance Flow - xViz,2.0.0.0,Quill,,BSD-3-Clause,False,True,0.988
BusinessFlowF39DAE8D57A743EF89F5C3809DEE2B67,Performance Flow - xViz,2.0.0.0,Globalize,,MIT,False,True,0.988
SmartFilterBySQLBI1458262140625,Smart Filter by OKVIZ,1.2.8.0,jQuery,,MIT,False,True,0.988
paretoEDD8E69761BA4B7BB3AA6D813990D7BF,Pareto by sio2Graphs,8.0.0.1,Globalize,,MIT,False,True,0.987
powerKPI462CE5C2666F4EC8A8BDD7E5587320A3,Power KPI,3.0.4.0,Globalize,,MIT,False,True,0.987
RiskHeatmapA1E4D7191E504BBA9F44FE76C254B319,Risk Matrix / Heatmap - LeapLytics,1.0.3.1,Moment.js,,MIT,False,True,0.986
chartexposankeydiagramD70B8BC1836C4420A7BFCE36F48EE4BE,Sankey Diagram for Power BI by ChartExpo,1.0.2.0,jQuery,,MIT,False,False,0.986
chartexposankeydiagramD70B8BC1836C4420A7BFCE36F48EE4BE,Sankey Diagram for Power BI by ChartExpo,1.0.2.0,Leaflet,,BSD-2-Clause,False,False,0.986
waterfall6C9ED82ABD1F44C4A0D590CE01EB5EE7,Zebra BI Charts,7.8.1.134,Leaflet,,BSD-2-Clause,False,True,0.986
waterfall6C9ED82ABD1F44C4A0D590CE01EB5EE7,Zebra BI Charts,7.8.1.134,Quill,,BSD-3-Clause,False,True,0.986
waterfall6C9ED82ABD1F44C4A0D590CE01EB5EE7,Zebra BI Charts,7.8.1.134,Globalize,,MIT,False,True,0.986
ImageGrid_FC5183B9_926C_45E0_B5F7_0CE9EAF1DA9B,Image Grid,1.0.1.0,d3.js,,ISC,False,False,0.985
ImageGrid_FC5183B9_926C_45E0_B5F7_0CE9EAF1DA9B,Image Grid,1.0.1.0,jQuery,,MIT,False,False,0.985
ImageGrid_FC5183B9_926C_45E0_B5F7_0CE9EAF1DA9B,Image Grid,1.0.1.0,Leaflet,,BSD-2-Clause,False,False,0.985
ImageGrid_FC5183B9_926C_45E0_B5F7_0CE9EAF1DA9B,Image Grid,1.0.1.0,Lodash,,MIT,False,False,0.985
imageDB603108E3FF4EBFB8047F5653368E8C,Image by CloudScope,4.0.1.0,jQuery,,MIT,False,False,0.985
imageDB603108E3FF4EBFB8047F5653368E8C,Image by CloudScope,4.0.1.0,Globalize,,MIT,False,False,0.985
radarChartE89D21F3E4E64221B79113B5015EA81B,Radar/Polar Chart - xViz,3.0.2.0,jQuery,,MIT,False,True,0.985
radarChartE89D21F3E4E64221B79113B5015EA81B,Radar/Polar Chart - xViz,3.0.2.0,Moment.js,,MIT,False,True,0.985
radarChartE89D21F3E4E64221B79113B5015EA81B,Radar/Polar Chart - xViz,3.0.2.0,Highcharts,,Commercial/CC-BY-NC,False,True,0.985
radarChartE89D21F3E4E64221B79113B5015EA81B,Radar/Polar Chart - xViz,3.0.2.0,Leaflet,,BSD-2-Clause,False,True,0.985
radarChartE89D21F3E4E64221B79113B5015EA81B,Radar/Polar Chart - xViz,3.0.2.0,ag-Grid,,Commercial/MIT,False,True,0.985
radarChartE89D21F3E4E64221B79113B5015EA81B,Radar/Polar Chart - xViz,3.0.2.0,Globalize,,MIT,False,True,0.985
radarChartE89D21F3E4E64221B79113B5015EA81B,Radar/Polar Chart - xViz,3.0.2.0,Chart.js,,MIT,False,True,0.985
pieChartNewAA90D11FDE2D45BBADC4383C1313084F,3D PieChart and Donut Chart by iFour,1.0.7.0,Leaflet,,BSD-2-Clause,False,True,0.984
pieChartNewAA90D11FDE2D45BBADC4383C1313084F,3D PieChart and Donut Chart by iFour,1.0.7.0,Globalize,,MIT,False,True,0.984
advancedGauge97290A2225EA4EB5BC5C8D85F9ACA7DA,Advanced Gauge - xViz,3.0.1.0,jQuery,,MIT,False,True,0.984
advancedGauge97290A2225EA4EB5BC5C8D85F9ACA7DA,Advanced Gauge - xViz,3.0.1.0,Highcharts,,Commercial/CC-BY-NC,False,True,0.984
advancedGauge97290A2225EA4EB5BC5C8D85F9ACA7DA,Advanced Gauge - xViz,3.0.1.0,Leaflet,,BSD-2-Clause,False,True,0.984
advancedGauge97290A2225EA4EB5BC5C8D85F9ACA7DA,Advanced Gauge - xViz,3.0.1.0,Globalize,,MIT,False,True,0.984
advancedGauge97290A2225EA4EB5BC5C8D85F9ACA7DA,Advanced Gauge - xViz,3.0.1.0,Chart.js,,MIT,False,True,0.984
performanceBubbleChartFBAAA829CB604E5CAB4F21729F233294,Bubble / Scatter Chart - xViz,3.0.1.1,jQuery,,MIT,False,True,0.984
performanceBubbleChartFBAAA829CB604E5CAB4F21729F233294,Bubble / Scatter Chart - xViz,3.0.1.1,Moment.js,,MIT,False,True,0.984
performanceBubbleChartFBAAA829CB604E5CAB4F21729F233294,Bubble / Scatter Chart - xViz,3.0.1.1,Highcharts,,Commercial/CC-BY-NC,False,True,0.984
performanceBubbleChartFBAAA829CB604E5CAB4F21729F233294,Bubble / Scatter Chart - xViz,3.0.1.1,Leaflet,,BSD-2-Clause,False,True,0.984
performanceBubbleChartFBAAA829CB604E5CAB4F21729F233294,Bubble / Scatter Chart - xViz,3.0.1.1,ag-Grid,,Commercial/MIT,False,True,0.984
performanceBubbleChartFBAAA829CB604E5CAB4F21729F233294,Bubble / Scatter Chart - xViz,3.0.1.1,Bootstrap,,MIT,False,True,0.984
performanceBubbleChartFBAAA829CB604E5CAB4F21729F233294,Bubble / Scatter Chart - xViz,3.0.1.1,DOMPurify,,Apache-2.0/MPL-2.0,False,True,0.984
performanceBubbleChartFBAAA829CB604E5CAB4F21729F233294,Bubble / Scatter Chart - xViz,3.0.1.1,Globalize,,MIT,False,True,0.984
performanceBubbleChartFBAAA829CB604E5CAB4F21729F233294,Bubble / Scatter Chart - xViz,3.0.1.1,Chart.js,,MIT,False,True,0.984
BoxWhiskerChart1455240051538,Box and Whisker chart,2.5.3.0,d3.js,,ISC,False,True,0.983
BoxWhiskerChart1455240051538,Box and Whisker chart,2.5.3.0,jQuery,,MIT,False,True,0.983
BoxWhiskerChart1455240051538,Box and Whisker chart,2.5.3.0,Lodash,,MIT,False,True,0.983
BoxWhiskerChart1455240051538,Box and Whisker chart,2.5.3.0,Leaflet,,BSD-2-Clause,False,True,0.983
BoxWhiskerChart1455240051538,Box and Whisker chart,2.5.3.0,Globalize,,MIT,False,True,0.983
PBI_CV_9272D058_BEA0_476A_B090_A712545F92FA,Bullet Chart by OKVIZ,2.4.2.0,jQuery,,MIT,False,True,0.983
PBI_CV_9272D058_BEA0_476A_B090_A712545F92FA,Bullet Chart by OKVIZ,2.4.2.0,jsrsasign,,MIT,False,True,0.983
PBI_CV_9272D058_BEA0_476A_B090_A712545F92FA,Bullet Chart by OKVIZ,2.4.2.0,Globalize,,MIT,False,True,0.983
Aquarium1442671919391,Enlighten Aquarium,4.0.6.4,jsrsasign,,MIT,False,True,0.983
Aquarium1442671919391,Enlighten Aquarium,4.0.6.4,Globalize,,MIT,False,True,0.983
PBI_CV_EB3A4088_75C5_4746_9D8B_255A7B7ECD6D,Mapbox Custom Visual,1.6.0.1,Leaflet,,BSD-2-Clause,False,False,0.983
PBI_CV_EB3A4088_75C5_4746_9D8B_255A7B7ECD6D,Mapbox Custom Visual,1.6.0.1,Mapbox GL JS,,BSD-3-Clause,False,False,0.983
decomposition50DB3783432B40A69C0B91926CE74CD9,decomposition_tree,29.0.0.0,Globalize,,MIT,False,True,0.983
scvationDataSlicer277BCF8926A84B5CBA093282D62811B5,Data Slicer,1.3.34.1,Leaflet,,BSD-2-Clause,False,True,0.982
scvationDataSlicer277BCF8926A84B5CBA093282D62811B5,Data Slicer,1.3.34.1,Globalize,,MIT,False,True,0.982
Visio_PBI_CV_D7C10B1A_506B_4123_878E_39E8698FD30A,Visio Visual,3.3.14.0,jQuery,,MIT,False,True,0.982
Visio_PBI_CV_D7C10B1A_506B_4123_878E_39E8698FD30A,Visio Visual,3.3.14.0,React,,MIT,False,True,0.982
multiLevelHeatMap847C7566C3104776AB0F4EEDFCBF00D1,Heatmap Visual,1.0.0.2,jQuery,,MIT,False,False,0.981
multiLevelHeatMap847C7566C3104776AB0F4EEDFCBF00D1,Heatmap Visual,1.0.0.2,Globalize,,MIT,False,False,0.981
HierarchySlicer1458836712039,HierarchySlicer,2.2.2.0,jQuery,,MIT,False,True,0.981
multiInfoCards9D184BB3D4E44A139DA08142D76EFD36,Multi Info Cards,1.2.9.2,Leaflet,,BSD-2-Clause,False,False,0.981
ZoomChartsDrillDownPieProC062D62DA5CE45ECB95B7B1D0E5DA558,Drill Down Pie PRO (Filter) by ZoomCharts,1.12.76.0,Moment.js,,MIT,False,True,0.98
ZoomChartsDrillDownPieProC062D62DA5CE45ECB95B7B1D0E5DA558,Drill Down Pie PRO (Filter) by ZoomCharts,1.12.76.0,Leaflet,,BSD-2-Clause,False,True,0.98
ZoomChartsDrillDownPieProC062D62DA5CE45ECB95B7B1D0E5DA558,Drill Down Pie PRO (Filter) by ZoomCharts,1.12.76.0,Globalize,,MIT,False,True,0.98
KPIVizA96234ADB8D143D1837FEC426BB34781,KPI by Powerviz,1.0.0.4,jQuery,,MIT,False,True,0.98
KPIVizA96234ADB8D143D1837FEC426BB34781,KPI by Powerviz,1.0.0.4,React,,MIT,False,True,0.98
KPIVizA96234ADB8D143D1837FEC426BB34781,KPI by Powerviz,1.0.0.4,Highcharts,,Commercial/CC-BY-NC,False,True,0.98
