GUID,Visual Name,Latest Version,Is Certified,Popularity,Finding Category,Finding Pattern,Detection Method,ESLint Rule,Code Origin,Library Name,Occurrence Count,Severity,Present in Prior Version
sankey02300D1BE6F5427989F3DE31CCA9E0F32020,Sankey Chart,3.4.5.0,True,0.997,DOM Manipulation,innerHTML =,Regex,no-inner-outer-html,Author,,3,Medium,
Timeline1447991079100,Timeline Slicer,2.5.14.0,True,0.997,DOM Manipulation,innerHTML =,Regex,no-inner-outer-html,Author,,3,Medium,
Timeline1447991079100,Timeline Slicer,2.5.14.0,True,0.997,Informational,http:// URL,Regex,no-http-string,Author,,31,Low,
Timeline1447991079100,Timeline Slicer,2.5.14.0,True,0.997,Informational,http:// URL,Regex,no-http-string,Library,(bundled),4,Low,
Datepicker_1687358625,Date Picker,1.0.0.6,True,0.996,Dynamic Code Execution,Function(),Regex,no-banned-terms,Author,,4,High,
Datepicker_1687358625,Date Picker,1.0.0.6,True,0.996,Dynamic Code Execution,Function(),Regex,no-banned-terms,Library,(bundled),8,High,
Datepicker_1687358625,Date Picker,1.0.0.6,True,0.996,Network Access,XMLHttpRequest,Regex,(certification requirement),Library,(bundled),1,High,
Datepicker_1687358625,Date Picker,1.0.0.6,True,0.996,DOM Manipulation,innerHTML =,Regex,no-inner-outer-html,Author,,52,Medium,
Datepicker_1687358625,Date Picker,1.0.0.6,True,0.996,DOM Manipulation,innerHTML =,Regex,no-inner-outer-html,Library,(bundled),7,Medium,
Datepicker_1687358625,Date Picker,1.0.0.6,True,0.996,DOM Manipulation,outerHTML =,Regex,no-inner-outer-html,Author,,1,Medium,
Datepicker_1687358625,Date Picker,1.0.0.6,True,0.996,Sensitive Access,document.domain,Regex,no-document-domain,Author,,2,Medium,
Datepicker_1687358625,Date Picker,1.0.0.6,True,0.996,Informational,http:// URL,Regex,no-http-string,Author,,59,Low,
Datepicker_1687358625,Date Picker,1.0.0.6,True,0.996,Informational,http:// URL,Regex,no-http-string,Library,(bundled),11,Low,
Datepicker_1687358625,Date Picker,1.0.0.6,True,0.996,Informational,Math.random(),Regex,insecure-random,Author,,13,Low,
Datepicker_1687358625,Date Picker,1.0.0.6,True,0.996,Informational,Math.random(),Regex,insecure-random,Library,(bundled),2,Low,
htmlContent443BE3AD55E043BF878BED274D3A6855,HTML Content,1.6.0.0,False,0.996,Network Access,XMLHttpRequest,Regex,(certification requirement),Author,,1,High,
htmlContent443BE3AD55E043BF878BED274D3A6855,HTML Content,1.6.0.0,False,0.996,DOM Manipulation,innerHTML =,Regex,no-inner-outer-html,Author,,4,Medium,
htmlContent443BE3AD55E043BF878BED274D3A6855,HTML Content,1.6.0.0,False,0.996,DOM Manipulation,.html(data),Regex,no-implied-inner-html,Author,,4,Medium,
htmlContent443BE3AD55E043BF878BED274D3A6855,HTML Content,1.6.0.0,False,0.996,Informational,Math.random(),Regex,insecure-random,Author,,2,Low,
maps,Maps,1.0.6.3,True,0.996,DOM Manipulation,innerHTML =,Regex,no-inner-outer-html,Author,,3,Medium,
maps,Maps,1.0.6.3,True,0.996,Informational,Math.random(),Regex,insecure-random,Author,,3,Low,
massFilter2E7137AC1174403C8CF3456F3EB0B7D7,Mass Filter,3.0.0.1,True,0.996,Dynamic Code Execution,Function(),Regex,no-banned-terms,Author,,1,High,
massFilter2E7137AC1174403C8CF3456F3EB0B7D7,Mass Filter,3.0.0.1,True,0.996,Dynamic Code Execution,Function(),Regex,no-banned-terms,Library,(bundled),2,High,
massFilter2E7137AC1174403C8CF3456F3EB0B7D7,Mass Filter,3.0.0.1,True,0.996,DOM Manipulation,innerHTML =,Regex,no-inner-outer-html,Author,,3,Medium,
massFilter2E7137AC1174403C8CF3456F3EB0B7D7,Mass Filter,3.0.0.1,True,0.996,Sensitive Access,document.domain,Regex,no-document-domain,Author,,1,Medium,
massFilter2E7137AC1174403C8CF3456F3EB0B7D7,Mass Filter,3.0.0.1,True,0.996,Informational,http:// URL,Regex,no-http-string,Author,,16,Low,
massFilter2E7137AC1174403C8CF3456F3EB0B7D7,Mass Filter,3.0.0.1,True,0.996,Informational,http:// URL,Regex,no-http-string,Library,(bundled),2,Low,
massFilter2E7137AC1174403C8CF3456F3EB0B7D7,Mass Filter,3.0.0.1,True,0.996,Informational,Math.random(),Regex,insecure-random,Author,,2,Low,
RadarChart1446119667547,Radar Chart,3.1.3.0,True,0.996,Dynamic Code Execution,Function(),Regex,no-banned-terms,Library,(bundled),2,High,
RadarChart1446119667547,Radar Chart,3.1.3.0,True,0.996,Network Access,XMLHttpRequest,Regex,(certification requirement),Author,,1,High,
RadarChart1446119667547,Radar Chart,3.1.3.0,True,0.996,DOM Manipulation,innerHTML =,Regex,no-inner-outer-html,Author,,3,Medium,
RadarChart1446119667547,Radar Chart,3.1.3.0,True,0.996,DOM Manipulation,.html(data),Regex,no-implied-inner-html,Author,,4,Medium,
advanceCardE03760C5AB684758B56AA29F9E6C257B,Advance Card,2.1.1.0,True,0.995,Dynamic Code Execution,Function(),Regex,no-banned-terms,Author,,3,High,
advanceCardE03760C5AB684758B56AA29F9E6C257B,Advance Card,2.1.1.0,True,0.995,Dynamic Code Execution,Function(),Regex,no-banned-terms,Library,(bundled),3,High,
advanceCardE03760C5AB684758B56AA29F9E6C257B,Advance Card,2.1.1.0,True,0.995,Network Access,XMLHttpRequest,Regex,(certification requirement),Author,,1,High,
advanceCardE03760C5AB684758B56AA29F9E6C257B,Advance Card,2.1.1.0,True,0.995,DOM Manipulation,innerHTML =,Regex,no-inner-outer-html,Author,,3,Medium,
advanceCardE03760C5AB684758B56AA29F9E6C257B,Advance Card,2.1.1.0,True,0.995,Informational,Math.random(),Regex,insecure-random,Author,,2,Low,
iconMapProE938B1CED4834168A55864E1F8E7242E,Icon Map Pro,1.1.0.2,False,0.995,Dynamic Code Execution,Function(),Regex,no-banned-terms,Author,,5,High,
iconMapProE938B1CED4834168A55864E1F8E7242E,Icon Map Pro,1.1.0.2,False,0.995,Dynamic Code Execution,Function(),Regex,no-banned-terms,Library,(bundled),1,High,
iconMapProE938B1CED4834168A55864E1F8E7242E,Icon Map Pro,1.1.0.2,False,0.995,Network Access,XMLHttpRequest,Regex,(certification requirement),Author,,34,High,
iconMapProE938B1CED4834168A55864E1F8E7242E,Icon Map Pro,1.1.0.2,False,0.995,Network Access,fetch(),Regex,(certification requirement),Author,,71,High,
iconMapProE938B1CED4834168A55864E1F8E7242E,Icon Map Pro,1.1.0.2,False,0.995,Network Access,fetch(),Regex,(certification requirement),Library,(bundled),3,High,
iconMapProE938B1CED4834168A55864E1F8E7242E,Icon Map Pro,1.1.0.2,False,0.995,DOM Manipulation,innerHTML =,Regex,no-inner-outer-html,Author,,41,Medium,
iconMapProE938B1CED4834168A55864E1F8E7242E,Icon Map Pro,1.1.0.2,False,0.995,DOM Manipulation,innerHTML =,Regex,no-inner-outer-html,Library,(bundled),5,Medium,
iconMapProE938B1CED4834168A55864E1F8E7242E,Icon Map Pro,1.1.0.2,False,0.995,Sensitive Access,document.cookie,Regex,no-banned-terms,Author,,1,Medium,
iconMapProE938B1CED4834168A55864E1F8E7242E,Icon Map Pro,1.1.0.2,False,0.995,Informational,http:// URL,Regex,no-http-string,Author,,130,Low,
