Visual Name,Publisher,GUID,Latest Version,Is Certified,Popularity,Risk Level,Risk Score,Author Findings,Library Findings,Dynamic Code (Author),Network Access (Author),DOM Manipulation (Author),Sensitive Access (Author),Informational (Author),Web Access Permission,Export Content Permission,Local Storage Permission,AAD Auth Permission,External JS Count,Detected Libraries,API Version,Has GPL License,Versions Scanned,Findings Resolved in Latest
Box and Whisker chart,DataScenarios,BoxWhiskerChart1455240051538,2.5.3.0,True,0.983,High,63,26,1,1,4,12,0,9,False,False,False,False,12,d3.js; jQuery; Lodash; Leaflet; Globalize,1.13.0,False,2,0
Bullet Chart by OKVIZ,OKVIZ Corp.,PBI_CV_9272D058_BEA0_476A_B090_A712545F92FA,2.4.2.0,True,0.983,High,21,29,1,0,0,7,0,22,False,True,False,False,0,jQuery; jsrsasign; Globalize,5.11.0,False,6,1
Enlighten Aquarium,ENLIGHTEN DESIGNS,Aquarium1442671919391,4.0.6.4,True,0.983,High,71,36,0,4,2,5,0,25,False,False,False,False,0,jsrsasign; Globalize,5.11.0,False,5,1
Mapbox Custom Visual,Starschema Kereskedelmi es Szolgaltato Korlatolt Felelossegu Tarsasag,PBI_CV_EB3A4088_75C5_4746_9D8B_255A7B7ECD6D,1.6.0.1,False,0.983,High,69,31,10,8,2,13,0,8,False,False,False,False,0,Leaflet; Mapbox GL JS,4.0.0,False,2,0
decomposition_tree,Excelnaccess.com,decomposition50DB3783432B40A69C0B91926CE74CD9,29.0.0.0,True,0.983,High,38,11,2,2,0,6,0,3,False,True,False,False,0,Globalize,5.9.0,False,7,0
Data Slicer,SCvation GmbH,scvationDataSlicer277BCF8926A84B5CBA093282D62811B5,1.3.34.1,True,0.982,High,18,20,1,0,0,3,0,17,False,False,False,False,0,Leaflet; Globalize,5.11.0,False,5,0
Visio Visual,Microsoft Corporation,Visio_PBI_CV_D7C10B1A_506B_4123_878E_39E8698FD30A,3.3.14.0,True,0.982,High,89,41,5,4,5,13,6,13,False,False,False,False,0,jQuery; React,2.6.0,False,2,0
Definitive Logic Advanced Gantt Chart,Definitive Logic,customGantt3E4C07C6049F43778D09D3DD5677C29C,1.2.2.2,True,0.981,High,39,23,4,2,0,12,0,9,False,False,False,False,0,,3.2.0,False,2,0
Heatmap Visual,DEFTEAM SOLUTIONS PRIVATE LIMITED,multiLevelHeatMap847C7566C3104776AB0F4EEDFCBF00D1,1.0.0.2,False,0.981,High,103,48,2,1,7,37,0,3,False,False,False,False,0,jQuery; Globalize,5.1.0,False,3,0
HierarchySlicer,DataScenarios,HierarchySlicer1458836712039,2.2.2.0,True,0.981,High,41,29,8,2,0,7,1,19,False,False,False,False,0,jQuery,3.2.0,False,2,0
Multi Info Cards,Portfolio Consultoria Empresarial,multiInfoCards9D184BB3D4E44A139DA08142D76EFD36,1.2.9.2,False,0.981,High,39,12,5,2,0,6,0,4,False,False,False,False,0,Leaflet,3.7.0,False,2,0
Drill Down Pie PRO (Filter) by ZoomCharts,ZoomCharts,ZoomChartsDrillDownPieProC062D62DA5CE45ECB95B7B1D0E5DA558,1.12.76.0,True,0.98,High,18,40,6,1,0,0,2,37,False,False,False,False,0,Moment.js; Leaflet; Globalize,5.9.0,False,20,0
KPI by Powerviz,TRUVIZ INC,KPIVizA96234ADB8D143D1837FEC426BB34781,1.0.0.4,True,0.98,High,92,149,27,5,2,52,1,89,False,True,False,False,0,jQuery; React; Highcharts; Leaflet; ag-Grid; Bootstrap; jsrsasign; Globalize; Chart.js,5.11.0,False,2,0
Multi target KPI,Alex Kolokolov,Multi_target_KPI,1.3.3.6,True,0.98,High,48,12,4,2,1,6,0,3,False,False,False,False,0,Globalize,5.3.0,False,3,0
Org Chart Drag and Drop,WorkforceVision LTD,orgChart021B261450284A21B688B59A7342AC52,1.2.9.0,True,0.98,High,37,68,9,0,0,8,1,59,False,True,True,False,0,JSZip,5.11.0,True,15,0
Beyondsoft Calendar,Manny Merino,bciCalendarCC0FA2BFE4B54EE1ACCFE383B9B1DE61,1.2.0.0,True,0.979,High,38,12,0,1,1,3,0,7,False,False,False,False,9,d3.js; Leaflet; Globalize,1.11.0,False,2,0
Linear Gauge by Powerviz,TRUVIZ INC,linearGauge8C105C35DD8E4826903041C089AF454F,1.0.0.3,True,0.979,High,78,102,29,4,1,46,2,49,False,True,False,False,0,React; Leaflet; ag-Grid; Bootstrap; jsrsasign; Quill; Globalize,5.3.0,False,3,0
